Field of study,All full-time employed,Computer applications,"Management, sales, or administration",Professional services,Any R&D,Teaching,Other
All fields,110000,129000,136000,115000,115000,79000,106000
Science,104000,126000,130000,110000,110000,76000,99000
"Biological, agricultural, and environmental life sciences",100000,105000,125000,152000,100000,75000,99000
Agricultural and food sciences,106000,100000,135000,120000,101000,84000,88000
Biochemistry and biophysics,109000,116000,135000,159000,105000,69000,110000
"Cell, cellular biology, and molecular biology",101000,96000,130000,200000,100000,77000,90000
Microbiological sciences and immunology,105000,102000,125000,170000,100000,75000,106000
Natural resources and conservation,91000,95000,112000,137000,90000,74000,70000
Zoology,98000,D,101000,77000,105000,80000,78000
Other biological sciences,100000,99000,124000,145000,98000,72000,99000
Computer and information sciences,139000,140000,161000,147000,149000,90000,117000
Mathematics and statistics,108000,129000,158000,145000,120000,78000,89000
"Physical sciences, geosciences, atmospheric, and ocean sciences",114000,125000,140000,150000,117000,73000,110000
Astronomy and astrophysics,104000,99000,152000,D,105000,73000,99000
"Chemistry, except biochemistry",110000,123000,140000,139000,115000,70000,114000
"Geosciences, atmospheric, and ocean sciences",102000,105000,130000,139000,108000,77000,97000
Physics,121000,129000,150000,177000,124000,76000,104000
Psychology,98000,109000,113000,100000,105000,76000,87000
Social sciences,99000,114000,130000,136000,110000,79000,89000
Economics,135000,112000,169000,188000,139000,96000,129000
Political science and government,95000,D,139000,100000,95000,80000,119000
"Sociology, demography, and population studies",87000,103000,115000,64000,100000,73000,112000
Other social sciences,85000,108000,103000,101000,92000,73000,75000
Engineering,129000,129000,150000,148000,125000,93000,118000
"Aerospace, aeronautical, and astronautical engineering",135000,130000,149000,D,135000,98000,D
Chemical engineering,129000,131000,159000,161000,125000,90000,126000
Civil engineering,110000,101000,130000,113000,110000,90000,100000
Electrical and computer engineering,140000,139000,169000,156000,140000,94000,123000
Mechanical engineering,120000,124000,149000,153000,120000,91000,128000
Metallurgical and materials engineering,124000,113000,148000,139000,120000,92000,118000
Other engineering,123000,126000,148000,135000,120000,94000,118000
Health,104000,112000,133000,134000,106000,83000,108000
